work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,remote_ratio,company_size,company_location,employee_residence
2020,MI,FT,Lead Data Scientist,115000,USD,115000,0,L,United Arab Emirates,United Arab Emirates
2022,SE,FT,Machine Learning Engineer,65000,USD,65000,100,S,United Arab Emirates,United Arab Emirates
2022,SE,FT,Machine Learning Engineer,120000,USD,120000,100,S,United Arab Emirates,United Arab Emirates
2021,EN,FT,Big Data Engineer,435000,INR,5882,0,L,Switzerland,India
2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,100,L,India,India
2021,MI,FT,Data Scientist,2500000,INR,33808,0,M,India,India
2021,MI,FT,Lead Data Analyst,1450000,INR,19609,100,L,India,India
2022,EX,FT,Head of Machine Learning,6000000,INR,79039,50,L,India,India
2020,MI,FT,Data Scientist,3000000,INR,40481,0,L,India,India
2021,EN,FT,Data Scientist,2200000,INR,29751,50,L,India,India
2021,MI,PT,3D Computer Vision Researcher,400000,INR,5409,50,M,India,India
2021,SE,FT,Machine Learning Engineer,4900000,INR,66265,0,L,India,India
2020,EN,FT,Data Analyst,450000,INR,6072,0,S,India,India
2021,MI,FT,Data Scientist,700000,INR,9466,0,S,India,India
2021,EN,FT,Data Scientist,2100000,INR,28399,100,M,India,India
2021,SE,FT,Data Science Manager,7000000,INR,94665,50,L,India,India
2021,EN,FT,Data Engineer,1600000,INR,21637,50,M,India,India
2021,EN,FT,Data Engineer,2250000,INR,30428,100,L,India,India
2021,EN,FT,Big Data Engineer,1200000,INR,16228,100,L,India,India
2021,SE,FT,Lead Data Scientist,3000000,INR,40570,50,L,India,India
2022,EN,FT,Data Scientist,1400000,INR,18442,100,M,India,India
2020,MI,FT,Product Data Analyst,450000,INR,6072,100,L,India,India
2022,MI,FT,Data Scientist,2400000,INR,31615,100,L,India,India
2021,MI,FT,Big Data Engineer,1672000,INR,22611,0,L,India,India
2020,EN,FT,Data Science Consultant,423000,INR,5707,50,M,India,India
2022,MI,FT,Business Data Analyst,1400000,INR,18442,100,M,India,India
2021,MI,FT,Data Scientist,1250000,INR,16904,100,S,India,India
2021,EN,FT,Machine Learning Engineer,20000,USD,20000,100,S,India,India
2021,SE,FT,Data Science Manager,4000000,INR,54094,50,L,United States,India
2021,MI,FT,Data Scientist,420000,INR,5679,100,S,United States,India
2021,EX,FT,BI Data Analyst,150000,USD,150000,100,L,United States,India
2022,MI,FT,AI Scientist,200000,USD,200000,100,L,United States,India
2020,MI,FT,Data Engineer,65000,EUR,74130,50,L,Austria,Austria
2022,MI,FT,Research Scientist,59000,EUR,64849,0,L,Austria,Austria
2020,SE,FT,Data Scientist,80000,EUR,91237,0,S,Austria,Austria
2021,MI,FT,Data Scientist,52000,EUR,61467,50,M,Austria,Germany
2022,MI,PT,Data Engineer,50000,EUR,54957,50,L,Germany,Germany
2022,SE,FT,Principal Data Scientist,148000,EUR,162674,100,M,Germany,Germany
2021,EN,FT,Data Science Consultant,65000,EUR,76833,100,S,Germany,Germany
2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,50,L,Germany,Germany
2021,MI,FT,Data Scientist,76760,EUR,90734,50,L,Germany,Germany
2021,EN,FT,Machine Learning Engineer,21000,EUR,24823,50,M,Germany,Germany
2022,SE,FT,Lead Machine Learning Engineer,80000,EUR,87932,0,M,Germany,Germany
2021,EX,FT,Director of Data Science,110000,EUR,130026,50,M,Germany,Germany
2021,SE,FT,Data Analyst,54000,EUR,63831,50,L,Germany,Germany
2021,EN,FT,Data Science Consultant,65000,EUR,76833,0,L,Germany,Germany
2021,EN,FT,Data Engineer,55000,EUR,65013,50,M,Germany,Germany
2021,EN,FT,Data Science Consultant,54000,EUR,63831,50,L,Germany,Germany
2021,EX,FT,Director of Data Science,120000,EUR,141846,0,L,Germany,Germany
2021,SE,FT,Principal Data Scientist,147000,EUR,173762,100,M,Germany,Germany
2021,MI,FT,Data Scientist,76760,EUR,90734,50,L,Germany,Germany
2021,MI,FT,Data Scientist,75000,EUR,88654,50,L,Germany,Germany
2021,SE,FT,Data Analytics Engineer,67000,EUR,79197,100,L,Germany,Germany
2020,MI,FT,Data Scientist,70000,EUR,79833,0,L,Germany,Germany
2020,EN,FT,Data Scientist,55000,EUR,62726,50,S,Germany,Germany
2020,SE,FT,Principal Data Scientist,130000,EUR,148261,100,M,Germany,Germany
2020,EN,PT,ML Engineer,14000,EUR,15966,100,S,Germany,Germany
2020,MI,FT,Data Engineering Manager,51999,EUR,59303,100,S,Germany,Germany
2020,EN,FT,Data Scientist,43200,EUR,49268,0,S,Germany,Germany
2021,MI,FT,Computer Vision Software Engineer,81000,EUR,95746,100,S,United States,Germany
2022,EN,FT,Data Scientist,120000,AUD,86703,50,M,Australia,Australia
2022,EN,FT,Computer Vision Software Engineer,150000,USD,150000,100,S,Australia,Australia
2022,MI,FT,Machine Learning Engineer,121000,AUD,87425,100,L,Australia,Australia
2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,50,M,Belgium,Belgium
2021,MI,FT,Machine Learning Engineer,75000,EUR,88654,100,M,Belgium,Belgium
2021,SE,FT,Computer Vision Engineer,102000,BRL,18907,0,M,Brazil,Brazil
2021,SE,FT,Computer Vision Engineer,24000,USD,24000,100,M,Brazil,Brazil
2021,MI,FT,Data Scientist,69600,BRL,12901,0,S,Brazil,Brazil
2022,SE,FT,Data Scientist,100000,USD,100000,100,M,United States,Brazil
2021,SE,FT,Cloud Data Engineer,160000,USD,160000,100,S,United States,Brazil
2021,EN,PT,AI Scientist,12000,USD,12000,100,S,United States,Brazil
2022,MI,FT,Machine Learning Developer,100000,CAD,78791,100,M,Canada,Canada
2022,MI,FT,Data Analyst,85000,USD,85000,0,M,Canada,Canada
2022,SE,FT,Data Analyst,61300,USD,61300,100,M,Canada,Canada
2022,SE,FT,Data Analyst,130000,USD,130000,100,M,Canada,Canada
2022,SE,FT,Data Analyst,61300,USD,61300,100,M,Canada,Canada
2022,EX,FT,Director of Data Science,250000,CAD,196979,50,L,Canada,Canada
2022,SE,FT,Data Analyst,130000,USD,130000,100,M,Canada,Canada
2022,SE,FT,Data Architect,90700,USD,90700,100,M,Canada,Canada
2022,MI,FT,Data Analyst,75000,USD,75000,0,M,Canada,Canada
2021,MI,FT,Data Scientist,95000,CAD,75774,100,L,Canada,Canada
2022,MI,FT,Principal Data Analyst,75000,USD,75000,100,S,Canada,Canada
2022,SE,FT,Data Architect,192400,USD,192400,100,M,Canada,Canada
2022,SE,FT,Machine Learning Developer,100000,CAD,78791,100,M,Canada,Canada
2021,SE,FT,Big Data Architect,125000,CAD,99703,50,M,Canada,Canada
2021,SE,FT,Data Science Engineer,159500,CAD,127221,50,L,Canada,Canada
2021,SE,FT,Data Scientist,130000,CAD,103691,100,L,Canada,Canada
2021,MI,FT,Research Scientist,235000,CAD,187442,100,L,Canada,Canada
2022,EN,FT,Data Analyst,52000,USD,52000,0,M,Canada,Canada
2021,SE,FT,Data Scientist,110000,CAD,87738,100,S,Canada,Canada
2022,EN,FT,Data Analyst,67000,USD,67000,0,M,Canada,Canada
2022,MI,FT,Business Data Analyst,90000,CAD,70912,50,L,Canada,Canada
2022,EX,FT,Lead Data Engineer,150000,CAD,118187,100,S,Canada,Canada
2021,SE,FT,Research Scientist,120500,CAD,96113,50,L,Canada,Canada
2022,MI,FT,Data Scientist,88000,CAD,69336,100,M,Canada,Canada
2022,EN,FT,Data Scientist,66500,CAD,52396,100,L,Canada,Canada
2020,SE,FT,Machine Learning Manager,157000,CAD,117104,50,L,Canada,Canada
2021,MI,FT,Research Scientist,80000,CAD,63810,100,M,Canada,Canada
2021,SE,FT,Data Analyst,90000,CAD,71786,100,M,Canada,Canada
2022,MI,FL,Data Scientist,100000,USD,100000,100,M,United States,Canada
2021,MI,FT,Applied Data Scientist,68000,CAD,54238,50,L,Canada,United Kingdom
2020,SE,FT,Big Data Engineer,85000,GBP,109024,50,M,United Kingdom,United Kingdom
2022,MI,FT,Data Analyst,35000,GBP,45807,0,M,United Kingdom,United Kingdom
2020,MI,FT,Data Scientist,60000,GBP,76958,100,S,United Kingdom,United Kingdom
2021,SE,FT,Data Engineer,70000,GBP,96282,50,L,United Kingdom,United Kingdom
2022,MI,FT,Machine Learning Engineer,75000,GBP,98158,0,M,United Kingdom,United Kingdom
2022,MI,FT,Data Engineer,90000,GBP,117789,0,M,United Kingdom,United Kingdom
2022,SE,FT,Data Engineer,50000,GBP,65438,0,M,United Kingdom,United Kingdom
2021,SE,FT,Finance Data Analyst,45000,GBP,61896,50,L,United Kingdom,United Kingdom
2022,EN,FT,Machine Learning Engineer,28500,GBP,37300,100,L,United Kingdom,United Kingdom
2021,MI,FT,Data Scientist,40900,GBP,56256,50,L,United Kingdom,United Kingdom
2022,MI,FT,Data Engineer,45000,GBP,58894,100,M,United Kingdom,United Kingdom
2021,MI,FT,Data Engineer,52500,GBP,72212,50,L,United Kingdom,United Kingdom
2022,MI,FT,Data Engineer,60000,GBP,78526,100,M,United Kingdom,United Kingdom
2022,MI,FT,Data Scientist,35000,GBP,45807,0,M,United Kingdom,United Kingdom
2022,MI,FT,Data Scientist,55000,GBP,71982,0,M,United Kingdom,United Kingdom
2022,MI,FT,Data Analyst,40000,GBP,52351,100,M,United Kingdom,United Kingdom
2021,MI,FT,Data Engineer,60000,GBP,82528,100,L,United Kingdom,United Kingdom
2022,MI,FT,Machine Learning Engineer,95000,GBP,124333,0,M,United Kingdom,United Kingdom
2022,MI,FT,Data Engineer,75000,GBP,98158,0,M,United Kingdom,United Kingdom
2021,MI,FT,Data Scientist,85000,GBP,116914,50,L,United Kingdom,United Kingdom
2020,MI,FT,Data Engineer,88000,GBP,112872,50,L,United Kingdom,United Kingdom
2022,MI,FT,Data Scientist,50000,GBP,65438,0,M,United Kingdom,United Kingdom
2022,MI,FT,Data Scientist,30000,GBP,39263,0,M,United Kingdom,United Kingdom
2021,MI,FT,Data Analyst,37456,GBP,51519,50,L,United Kingdom,United Kingdom
2022,SE,FT,Data Scientist,90000,GBP,117789,0,M,United Kingdom,United Kingdom
2021,SE,FT,Lead Data Engineer,75000,GBP,103160,100,S,United Kingdom,United Kingdom
2022,MI,FT,Data Scientist,70000,GBP,91614,0,M,United Kingdom,United Kingdom
2022,EN,FT,Data Engineer,35000,GBP,45807,100,M,United Kingdom,United Kingdom
2022,SE,FT,Data Scientist,80000,GBP,104702,0,M,United Kingdom,United Kingdom
2022,MI,FT,Data Analyst,50000,GBP,65438,0,M,United Kingdom,United Kingdom
2021,EN,FT,Research Scientist,60000,GBP,82528,50,L,United Kingdom,United Kingdom
2021,SE,FT,Director of Data Engineering,82500,GBP,113476,100,M,United Kingdom,United Kingdom
2021,EN,FT,Applied Data Scientist,80000,GBP,110037,0,L,United Kingdom,United Kingdom
2022,MI,FT,Data Engineer,40000,GBP,52351,0,M,United Kingdom,United Kingdom
2022,MI,FT,Data Engineer,60000,GBP,78526,100,M,United Kingdom,United Kingdom
2022,MI,FT,Data Engineer,75000,GBP,98158,100,M,United Kingdom,United Kingdom
2022,MI,FT,Data Engineer,70000,GBP,91614,100,M,United Kingdom,United Kingdom
2022,SE,FT,Data Engineer,60000,GBP,78526,0,M,United Kingdom,United Kingdom
2022,EN,FT,Data Engineer,40000,GBP,52351,100,M,United Kingdom,United Kingdom
2022,MI,FT,Data Engineer,60000,GBP,78526,0,M,United Kingdom,United Kingdom
2022,MI,FT,Data Engineer,80000,GBP,104702,100,M,United Kingdom,United Kingdom
2022,MI,FT,Data Analyst,30000,GBP,39263,100,M,United Kingdom,United Kingdom
2022,MI,FT,Data Scientist,140000,GBP,183228,0,M,United Kingdom,United Kingdom
2021,SE,FT,Machine Learning Scientist,225000,USD,225000,100,L,Canada,United States
2021,SE,FT,Data Science Manager,152000,USD,152000,100,L,France,United States
2022,SE,FT,Data Engineer,100800,USD,100800,100,L,United States,United States
2022,SE,FT,Data Engineer,25000,USD,25000,100,M,United States,United States
2022,SE,FT,Data Analyst,106260,USD,106260,100,M,United States,United States
2022,SE,FT,Data Engineer,100000,USD,100000,100,M,United States,United States
2022,SE,FT,Data Engineer,220110,USD,220110,100,M,United States,United States
2022,SE,FT,Data Analyst,126500,USD,126500,100,M,United States,United States
2022,SE,FT,Data Scientist,140400,USD,140400,0,L,United States,United States
2022,SE,FT,Data Scientist,140000,USD,140000,100,M,United States,United States
2022,SE,FT,Data Scientist,210000,USD,210000,100,M,United States,United States
2022,MI,FT,Machine Learning Engineer,120000,USD,120000,100,S,United States,United States
2022,SE,FT,Data Engineer,80000,USD,80000,100,M,United States,United States
2022,SE,FT,Data Engineer,180000,USD,180000,100,M,United States,United States
2022,SE,FT,Data Engineer,154600,USD,154600,100,L,United States,United States
2022,SE,FT,Data Engineer,209100,USD,209100,100,L,United States,United States
2022,SE,FT,Data Scientist,140000,USD,140000,100,M,United States,United States
2022,SE,FT,Data Analyst,150075,USD,150075,100,M,United States,United States
2022,SE,FT,Data Scientist,215300,USD,215300,0,L,United States,United States
2022,SE,FT,Data Analyst,100000,USD,100000,100,M,United States,United States
2022,SE,FT,Data Analyst,69000,USD,69000,100,M,United States,United States
2022,SE,FT,Machine Learning Engineer,164996,USD,164996,0,M,United States,United States
2022,SE,FT,Machine Learning Engineer,189650,USD,189650,0,M,United States,United States
2022,SE,FT,Data Scientist,210000,USD,210000,100,M,United States,United States
2022,SE,FT,Data Scientist,140000,USD,140000,100,M,United States,United States
2022,SE,FT,Data Scientist,210000,USD,210000,100,M,United States,United States
2022,MI,FT,Data Engineer,82900,USD,82900,0,M,United States,United States
2022,SE,FT,Data Scientist,180000,USD,180000,0,M,United States,United States
2022,SE,FT,Data Engineer,183600,USD,183600,100,L,United States,United States
2022,SE,FT,Data Scientist,210000,USD,210000,100,M,United States,United States
2022,SE,FT,Data Analyst,170000,USD,170000,100,M,United States,United States
2022,MI,FT,Data Analyst,58000,USD,58000,0,S,United States,United States
2022,MI,FT,Data Scientist,160000,USD,160000,100,M,United States,United States
2022,SE,FT,Data Engineer,175000,USD,175000,100,M,United States,United States
2022,SE,FT,Data Analyst,81666,USD,81666,0,M,United States,United States
2022,SE,FT,Data Scientist,180000,USD,180000,100,M,United States,United States
2022,SE,FT,Data Analyst,115934,USD,115934,0,M,United States,United States
2022,SE,FT,Data Engineer,209100,USD,209100,100,L,United States,United States
2022,SE,FT,Data Scientist,158200,USD,158200,100,L,United States,United States
2022,SE,FT,Data Scientist,215300,USD,215300,100,L,United States,United States
2022,MI,FT,Data Scientist,130000,USD,130000,100,M,United States,United States
2022,SE,FT,Data Engineer,154000,USD,154000,100,M,United States,United States
2022,SE,FT,Data Engineer,126000,USD,126000,100,M,United States,United States
2022,SE,FT,Data Analyst,129000,USD,129000,0,M,United States,United States
2022,SE,FT,Data Engineer,154600,USD,154600,100,L,United States,United States
2022,SE,FT,Data Scientist,80000,USD,80000,0,M,United States,United States
2022,SE,FT,Data Analytics Manager,109280,USD,109280,100,M,United States,United States
2022,SE,FT,Data Scientist,150000,USD,150000,100,M,United States,United States
2022,MI,FT,Data Science Manager,159000,USD,159000,100,M,United States,United States
2022,MI,FT,Data Science Manager,241000,USD,241000,100,M,United States,United States
2022,MI,FT,Machine Learning Scientist,112300,USD,112300,100,L,United States,United States
2022,MI,FT,Machine Learning Scientist,160000,USD,160000,100,L,United States,United States
2022,MI,FT,Data Engineer,63900,USD,63900,0,M,United States,United States
2022,SE,FT,Data Engineer,160080,USD,160080,100,M,United States,United States
2022,SE,FT,Data Analyst,105000,USD,105000,100,M,United States,United States
2022,SE,FT,Data Analytics Manager,150260,USD,150260,100,M,United States,United States
2022,EN,FT,Computer Vision Engineer,125000,USD,125000,0,M,United States,United States
2022,SE,FT,Data Analyst,110925,USD,110925,100,M,United States,United States
2022,SE,FT,Data Scientist,140000,USD,140000,100,M,United States,United States
2022,SE,FT,Data Analyst,99000,USD,99000,0,M,United States,United States
2022,SE,FT,Data Analyst,60000,USD,60000,100,M,United States,United States
2022,SE,FT,Data Architect,192564,USD,192564,100,M,United States,United States
2022,SE,FT,Data Architect,144854,USD,144854,100,M,United States,United States
2022,SE,FT,Data Scientist,230000,USD,230000,100,M,United States,United States
2022,SE,FT,Data Scientist,260000,USD,260000,100,M,United States,United States
2022,SE,FT,Data Analyst,80000,USD,80000,100,M,United States,United States
2022,SE,FT,Data Scientist,140400,USD,140400,0,M,United States,United States
2022,SE,FT,Data Analyst,170000,USD,170000,100,M,United States,United States
2022,SE,FT,Machine Learning Engineer,192600,USD,192600,100,M,United States,United States
2022,SE,FT,Data Architect,266400,USD,266400,100,M,United States,United States
2022,SE,FT,Data Architect,213120,USD,213120,100,M,United States,United States
2022,SE,FT,Data Analyst,112900,USD,112900,100,M,United States,United States
2022,SE,FT,Data Engineer,155000,USD,155000,100,M,United States,United States
2022,SE,FT,Data Scientist,230000,USD,230000,100,M,United States,United States
2022,MI,FT,Data Scientist,141300,USD,141300,0,M,United States,United States
2022,SE,FT,Machine Learning Engineer,120000,USD,120000,100,M,United States,United States
2022,MI,FT,Data Scientist,102100,USD,102100,0,M,United States,United States
2022,SE,FT,Data Engineer,210000,USD,210000,100,M,United States,United States
2022,SE,FT,Data Analyst,115934,USD,115934,100,M,United States,United States
2022,SE,FT,Data Analyst,81666,USD,81666,100,M,United States,United States
2022,MI,FT,Data Engineer,206699,USD,206699,0,M,United States,United States
2022,SE,FT,Machine Learning Engineer,214000,USD,214000,100,M,United States,United States
2022,MI,FT,Data Engineer,99100,USD,99100,0,M,United States,United States
2022,SE,FT,Data Analyst,90320,USD,90320,100,M,United States,United States
2022,SE,FT,Data Engineer,115000,USD,115000,100,M,United States,United States
2022,EN,FT,Research Scientist,120000,USD,120000,100,L,United States,United States
2022,MI,FT,Applied Data Scientist,157000,USD,157000,100,L,United States,United States
2022,EN,FT,Data Engineer,65000,USD,65000,100,S,United States,United States
2022,SE,FT,Data Analytics Manager,105400,USD,105400,100,M,United States,United States
2022,SE,FT,Data Science Manager,152500,USD,152500,100,M,United States,United States
2022,SE,FT,Applied Data Scientist,380000,USD,380000,100,L,United States,United States
2022,SE,FT,Data Analytics Lead,405000,USD,405000,100,L,United States,United States
2022,MI,FT,Data Scientist,135000,USD,135000,100,L,United States,United States
2022,SE,FT,Data Scientist,165000,USD,165000,100,M,United States,United States
2022,SE,FT,Applied Data Scientist,177000,USD,177000,100,L,United States,United States
2022,MI,FT,Data Scientist,78000,USD,78000,100,M,United States,United States
2022,SE,FT,Data Analyst,135000,USD,135000,100,M,United States,United States
2022,MI,FT,Machine Learning Scientist,153000,USD,153000,50,M,United States,United States
2022,SE,FT,Data Analyst,100000,USD,100000,100,M,United States,United States
2022,EX,FT,Data Engineer,216000,USD,216000,100,M,United States,United States
2022,EX,FT,Data Engineer,324000,USD,324000,100,M,United States,United States
2022,SE,FT,Data Engineer,130000,USD,130000,100,M,United States,United States
2022,SE,FT,Data Scientist,104890,USD,104890,100,M,United States,United States
2022,SE,FT,Research Scientist,144000,USD,144000,50,L,United States,United States
2022,EN,FT,Data Engineer,120000,USD,120000,100,M,United States,United States
2022,SE,FT,Data Engineer,160000,USD,160000,100,M,United States,United States
2022,SE,FT,Data Engineer,145000,USD,145000,100,M,United States,United States
2022,SE,FT,Data Engineer,70500,USD,70500,0,M,United States,United States
2022,SE,FT,Data Scientist,205300,USD,205300,0,M,United States,United States
2022,SE,FT,Analytics Engineer,205300,USD,205300,0,M,United States,United States
2022,EN,FT,Financial Data Analyst,100000,USD,100000,50,L,United States,United States
2022,SE,FT,Analytics Engineer,184700,USD,184700,0,M,United States,United States
2022,SE,FT,Data Engineer,175100,USD,175100,100,M,United States,United States
2022,SE,FT,Data Engineer,140250,USD,140250,100,M,United States,United States
2022,SE,FT,Data Engineer,105000,USD,105000,100,M,United States,United States
2022,SE,FT,Data Analyst,116150,USD,116150,100,M,United States,United States
2022,SE,FT,Data Engineer,54000,USD,54000,0,M,United States,United States
2022,SE,FT,Data Engineer,100000,USD,100000,100,M,United States,United States
2022,SE,FT,Data Scientist,140000,USD,140000,100,M,United States,United States
2022,MI,FT,Data Analyst,135000,USD,135000,100,M,United States,United States
2022,MI,FT,Data Analyst,50000,USD,50000,100,M,United States,United States
2022,SE,FT,Data Engineer,115000,USD,115000,100,M,United States,United States
2022,SE,FT,Data Engineer,110500,USD,110500,100,M,United States,United States
2022,SE,FT,Data Engineer,130000,USD,130000,100,M,United States,United States
2022,SE,FT,Data Analyst,99050,USD,99050,100,M,United States,United States
2022,SE,FT,Data Engineer,160000,USD,160000,100,M,United States,United States
2022,MI,FT,Data Scientist,120000,USD,120000,100,M,United States,United States
2022,MI,FT,Data Scientist,200000,USD,200000,100,M,United States,United States
2022,MI,FT,NLP Engineer,240000,CNY,37236,50,L,United States,United States
2022,SE,FT,Data Scientist,205300,USD,205300,0,L,United States,United States
2022,SE,FT,Data Scientist,140400,USD,140400,0,L,United States,United States
2022,SE,FT,Data Scientist,185100,USD,185100,100,M,United States,United States
2022,SE,FT,Data Scientist,176000,USD,176000,100,M,United States,United States
2022,SE,FT,Data Scientist,144000,USD,144000,100,M,United States,United States
2022,SE,FT,Data Engineer,200100,USD,200100,100,M,United States,United States
2022,SE,FT,Data Scientist,140000,USD,140000,100,M,United States,United States
2022,SE,FT,Data Scientist,220000,USD,220000,100,M,United States,United States
2022,SE,FT,Machine Learning Engineer,220000,USD,220000,100,M,United States,United States
2022,SE,FT,Data Analytics Manager,145000,USD,145000,100,M,United States,United States
2022,SE,FT,Data Scientist,123000,USD,123000,100,M,United States,United States
2022,SE,FT,Data Analyst,112900,USD,112900,100,M,United States,United States
2021,SE,FT,Data Analytics Manager,120000,USD,120000,100,M,United States,United States
2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,50,L,United States,United States
2021,SE,FT,Data Science Manager,144000,USD,144000,100,L,United States,United States
2021,MI,FT,Data Scientist,150000,USD,150000,100,M,United States,United States
2021,SE,FT,Data Engineering Manager,153000,USD,153000,100,L,United States,United States
2021,MI,FT,Data Engineer,90000,USD,90000,100,L,United States,United States
2021,MI,FT,Data Engineer,100000,USD,100000,100,L,United States,United States
2021,MI,FT,Data Scientist,82500,USD,82500,100,S,United States,United States
2021,SE,FT,Data Engineering Manager,150000,USD,150000,0,L,United States,United States
2021,EN,FT,Machine Learning Engineer,125000,USD,125000,100,S,United States,United States
2021,SE,FT,Data Science Manager,240000,USD,240000,0,L,United States,United States
2021,EN,FT,Data Scientist,80000,USD,80000,100,M,United States,United States
2021,SE,FT,Principal Data Scientist,220000,USD,220000,0,L,United States,United States
2021,MI,FT,Data Analyst,90000,USD,90000,100,M,United States,United States
